user_id,segment,city_tier,signup_date,historical_order_count,days_since_last_order,discount_shown,converted
U300000,lapsed,tier_1,2025-04-18,4,157,True,True
U300001,lapsed,tier_3,2025-04-24,0,117,False,False
U300002,lapsed,tier_3,2025-04-11,4,69,False,False
U300003,new,tier_3,2025-09-24,0,9999,False,False
U300004,lapsed,tier_2,2025-04-11,6,75,True,True
U300005,high_frequency,tier_2,2025-06-12,16,0,True,True
U300006,active,tier_1,2025-07-03,7,5,False,True
U300007,new,tier_2,2025-08-18,0,9999,False,True
U300008,high_frequency,tier_3,2024-07-17,25,0,False,True
U300009,lapsed,tier_3,2024-04-05,4,83,False,False
U300010,new,tier_2,2025-12-08,0,9999,True,True
U300011,lapsed,tier_1,2024-12-15,2,130,True,False
U300012,high_frequency,tier_3,2025-07-31,14,1,False,True
U300013,active,tier_1,2025-08-04,6,7,False,False
U300014,high_frequency,tier_2,2025-06-02,20,4,False,True
U300015,lapsed,tier_1,2025-03-18,3,155,False,True
U300016,active,tier_1,2025-12-31,7,19,False,True
U300017,new,tier_1,2024-07-05,0,9999,True,False
U300018,high_frequency,tier_3,2024-09-01,20,1,True,True
U300019,active,tier_1,2024-11-11,4,14,False,True
U300020,active,tier_1,2024-12-29,6,14,False,True
U300021,lapsed,tier_3,2024-10-04,5,68,False,False
U300022,active,tier_1,2025-09-08,8,16,False,True
U300023,new,tier_2,2025-05-17,0,9999,True,False
U300024,active,tier_3,2025-12-06,6,20,False,True
U300025,active,tier_1,2025-04-27,5,9,True,True
U300026,lapsed,tier_1,2025-11-14,5,91,False,False
U300027,lapsed,tier_2,2025-01-17,3,128,False,False
U300028,active,tier_1,2025-10-30,5,3,True,False
U300029,new,tier_2,2024-05-30,0,9999,False,False
U300030,lapsed,tier_3,2024-09-10,1,114,True,False
U300031,new,tier_2,2024-04-21,0,9999,True,True
U300032,lapsed,tier_1,2025-09-04,4,136,True,False
U300033,active,tier_2,2024-10-16,11,20,True,True
U300034,lapsed,tier_1,2026-02-24,4,64,True,False
U300035,active,tier_2,2025-01-12,4,17,True,False
U300036,active,tier_2,2024-10-16,8,17,False,True
U300037,new,tier_3,2024-09-08,0,9999,False,False
U300038,lapsed,tier_1,2025-01-08,4,107,False,False
U300039,active,tier_3,2024-12-20,7,20,True,True
U300040,new,tier_2,2024-10-05,0,9999,False,False
U300041,new,tier_1,2024-05-07,0,9999,False,False
U300042,high_frequency,tier_2,2025-08-08,13,2,False,True
U300043,lapsed,tier_1,2025-05-18,3,176,False,False
U300044,lapsed,tier_2,2024-04-19,7,120,True,False
U300045,active,tier_2,2024-05-07,7,4,False,True
U300046,high_frequency,tier_1,2024-04-17,25,1,False,True
U300047,active,tier_1,2025-04-14,6,3,False,False
U300048,lapsed,tier_2,2024-05-05,1,78,False,False
U300049,new,tier_2,2025-09-10,0,9999,True,False
U300050,lapsed,tier_3,2025-06-11,1,152,True,False
U300051,high_frequency,tier_3,2025-09-03,19,2,True,True
U300052,lapsed,tier_3,2024-09-03,5,142,True,True
U300053,new,tier_1,2025-11-30,0,9999,False,False
U300054,lapsed,tier_1,2026-01-19,4,139,True,False
U300055,active,tier_2,2024-08-20,8,9,True,True
U300056,high_frequency,tier_3,2024-04-03,11,2,False,True
U300057,new,tier_1,2026-01-28,0,9999,True,True
U300058,new,tier_1,2026-03-01,0,9999,False,True
U300059,new,tier_1,2025-04-20,0,9999,False,False
U300060,active,tier_1,2026-01-31,8,9,False,False
U300061,high_frequency,tier_1,2024-12-26,17,3,False,False
U300062,lapsed,tier_3,2025-07-27,5,103,False,False
U300063,lapsed,tier_1,2025-04-20,5,156,False,False
U300064,new,tier_1,2024-04-17,0,9999,True,False
U300065,new,tier_2,2025-05-24,0,9999,True,True
U300066,active,tier_2,2025-06-14,3,20,True,True
U300067,lapsed,tier_1,2025-05-30,2,178,False,False
U300068,lapsed,tier_1,2025-01-17,1,96,False,False
U300069,lapsed,tier_2,2025-01-27,2,69,True,True
U300070,active,tier_1,2026-01-15,6,20,False,False
U300071,new,tier_2,2024-12-23,0,9999,True,True
U300072,active,tier_1,2025-07-15,6,5,True,False
U300073,active,tier_2,2024-04-29,5,10,False,True
U300074,lapsed,tier_1,2025-03-07,3,162,False,False
U300075,high_frequency,tier_2,2025-03-28,16,2,False,True
U300076,high_frequency,tier_3,2025-08-11,18,0,False,True
U300077,new,tier_1,2025-06-26,0,9999,True,True
U300078,lapsed,tier_1,2024-11-08,3,132,False,False
U300079,new,tier_2,2024-07-05,0,9999,False,False
U300080,new,tier_2,2025-01-03,0,9999,True,True
U300081,lapsed,tier_1,2025-04-21,3,177,True,False
U300082,active,tier_2,2025-11-22,4,11,False,False
U300083,high_frequency,tier_2,2025-10-07,18,0,False,True
U300084,lapsed,tier_1,2024-06-23,3,150,True,True
U300085,lapsed,tier_3,2024-07-15,1,94,True,True
U300086,lapsed,tier_2,2024-11-03,4,80,False,False
U300087,high_frequency,tier_1,2025-01-21,17,3,True,True
U300088,high_frequency,tier_3,2025-02-09,18,3,False,False
U300089,new,tier_2,2025-04-17,0,9999,True,False
U300090,high_frequency,tier_1,2025-12-20,22,2,False,True
U300091,active,tier_1,2025-01-10,4,4,False,False
U300092,active,tier_2,2024-07-22,7,14,True,True
U300093,high_frequency,tier_3,2025-05-01,14,1,True,True
U300094,high_frequency,tier_1,2024-07-15,21,0,False,False
U300095,lapsed,tier_3,2024-06-11,2,77,False,False
U300096,lapsed,tier_1,2024-10-07,7,126,True,False
U300097,new,tier_1,2024-04-03,0,9999,True,False
U300098,active,tier_1,2025-03-30,6,14,False,True
U300099,high_frequency,tier_1,2024-04-12,20,0,True,True
U300100,high_frequency,tier_3,2024-11-04,24,4,False,True
U300101,active,tier_1,2024-07-11,9,7,False,False
U300102,lapsed,tier_2,2025-04-22,4,164,False,False
U300103,new,tier_2,2025-01-25,0,9999,True,False
U300104,lapsed,tier_2,2025-07-26,6,87,True,True
U300105,active,tier_1,2024-09-30,6,12,True,True
U300106,new,tier_2,2024-05-23,0,9999,False,False
U300107,new,tier_2,2026-01-29,0,9999,True,True
U300108,lapsed,tier_3,2025-01-27,6,140,True,True
U300109,active,tier_1,2025-04-04,3,12,False,False
U300110,lapsed,tier_2,2025-05-07,1,136,False,False
U300111,active,tier_1,2025-07-26,6,16,False,True
U300112,lapsed,tier_2,2025-02-01,5,128,True,False
U300113,active,tier_2,2024-09-16,9,15,False,False
U300114,lapsed,tier_2,2025-05-03,7,64,True,False
U300115,new,tier_3,2025-10-10,0,9999,False,False
U300116,lapsed,tier_2,2024-04-16,1,132,True,False
U300117,lapsed,tier_1,2025-12-29,8,124,True,False
U300118,new,tier_2,2024-06-01,0,9999,True,True
U300119,lapsed,tier_2,2024-05-20,5,123,True,True
U300120,lapsed,tier_2,2026-01-09,4,98,True,False
U300121,high_frequency,tier_1,2026-01-24,17,2,False,False
U300122,new,tier_2,2024-11-23,0,9999,True,False
U300123,active,tier_1,2025-05-16,3,20,False,False
U300124,high_frequency,tier_1,2025-05-06,21,4,True,True
U300125,high_frequency,tier_3,2024-09-06,12,2,True,True
U300126,lapsed,tier_1,2024-10-31,3,67,True,False
U300127,active,tier_2,2025-02-16,7,18,True,False
U300128,lapsed,tier_1,2025-05-19,7,153,True,False
U300129,active,tier_2,2024-06-10,3,12,True,True
U300130,active,tier_1,2025-07-05,5,10,True,True
U300131,lapsed,tier_2,2024-07-17,3,64,True,True
U300132,high_frequency,tier_3,2025-02-14,17,1,True,True
U300133,new,tier_1,2025-10-13,0,9999,False,False
U300134,lapsed,tier_1,2025-03-07,4,130,False,False
U300135,high_frequency,tier_2,2024-04-28,16,4,False,True
U300136,active,tier_2,2025-01-21,6,6,False,False
U300137,active,tier_3,2025-04-21,9,14,False,True
U300138,lapsed,tier_3,2025-09-08,4,118,False,False
U300139,new,tier_3,2025-10-03,0,9999,False,False
U300140,high_frequency,tier_1,2025-08-22,19,4,True,True
U300141,active,tier_1,2026-01-25,4,12,False,True
U300142,lapsed,tier_1,2025-12-07,1,131,False,False
U300143,lapsed,tier_1,2025-08-17,3,133,True,False
U300144,new,tier_3,2024-05-15,0,9999,True,True
U300145,new,tier_3,2025-09-02,0,9999,False,False
U300146,active,tier_2,2025-11-11,6,7,True,True
U300147,lapsed,tier_2,2024-04-14,5,147,False,False
U300148,active,tier_1,2025-01-19,4,8,False,False
U300149,active,tier_2,2024-07-09,4,19,True,False
U300150,new,tier_2,2025-09-07,0,9999,False,False
U300151,active,tier_1,2024-09-06,8,3,True,True
U300152,high_frequency,tier_3,2024-10-06,20,1,True,True
U300153,new,tier_1,2024-08-26,0,9999,False,False
U300154,lapsed,tier_2,2026-02-09,7,119,True,True
U300155,active,tier_2,2024-06-10,8,4,True,False
U300156,high_frequency,tier_2,2025-04-09,24,1,True,False
U300157,high_frequency,tier_1,2024-06-30,16,0,False,True
U300158,active,tier_1,2024-12-06,4,8,False,True
U300159,high_frequency,tier_2,2025-07-13,20,2,True,True
U300160,active,tier_2,2025-06-30,8,18,True,False
U300161,lapsed,tier_2,2024-09-17,3,146,True,True
U300162,active,tier_3,2025-01-16,5,4,False,True
U300163,active,tier_2,2025-04-17,8,10,False,False
U300164,new,tier_2,2024-12-17,0,9999,True,False
U300165,active,tier_1,2025-12-02,6,14,False,True
U300166,active,tier_1,2026-01-21,11,11,False,True
U300167,new,tier_3,2025-02-06,0,9999,True,False
U300168,new,tier_1,2025-12-22,0,9999,False,True
U300169,new,tier_2,2025-05-27,0,9999,True,False
U300170,high_frequency,tier_2,2024-08-21,18,2,False,True
U300171,active,tier_3,2025-07-27,6,12,True,True
U300172,high_frequency,tier_1,2025-12-26,16,4,False,True
U300173,active,tier_1,2024-09-05,5,15,False,True
U300174,lapsed,tier_1,2025-03-14,5,76,True,True
U300175,active,tier_3,2024-11-24,5,14,False,True
U300176,lapsed,tier_1,2024-05-18,2,93,False,False
U300177,active,tier_3,2025-05-17,5,13,False,True
U300178,high_frequency,tier_1,2024-10-02,21,1,False,False
U300179,active,tier_2,2025-08-10,5,11,False,True
U300180,new,tier_2,2024-09-18,0,9999,False,False
U300181,active,tier_2,2024-08-28,4,10,False,False
U300182,new,tier_1,2025-12-31,0,9999,True,True
U300183,active,tier_3,2025-06-14,5,6,False,False
U300184,active,tier_2,2025-07-19,4,11,False,False
U300185,lapsed,tier_1,2024-04-28,6,143,True,False
U300186,high_frequency,tier_3,2025-12-27,18,0,False,True
U300187,new,tier_1,2024-06-15,0,9999,True,False
U300188,lapsed,tier_2,2024-12-16,4,155,False,False
U300189,high_frequency,tier_1,2026-02-01,15,2,True,False
U300190,lapsed,tier_2,2025-04-29,10,169,False,False
U300191,active,tier_1,2024-04-09,6,16,False,False
U300192,active,tier_3,2025-07-05,8,14,True,True
U300193,high_frequency,tier_1,2025-07-11,14,2,False,True
U300194,active,tier_1,2024-07-09,8,20,True,True
U300195,lapsed,tier_1,2025-02-16,3,107,True,True
U300196,active,tier_1,2024-04-29,4,20,True,True
U300197,lapsed,tier_1,2025-02-16,7,131,False,False
U300198,lapsed,tier_2,2025-05-27,4,68,False,False
U300199,lapsed,tier_1,2026-02-28,4,73,False,False
U300200,active,tier_2,2025-06-17,7,11,True,False
U300201,active,tier_3,2025-11-28,4,17,False,False
U300202,new,tier_1,2024-07-02,0,9999,False,False
U300203,lapsed,tier_3,2025-08-06,7,151,False,False
U300204,new,tier_2,2025-01-09,0,9999,True,False
U300205,active,tier_1,2024-07-26,6,15,True,False
U300206,lapsed,tier_1,2025-01-12,4,160,False,False
U300207,active,tier_2,2024-07-10,7,10,False,False
